playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - USA,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,False,94,Beautiful Things,29aSKB1qPEbN0Qf9OPSQpw,https://i.scdn.co/image/ab67616d0000b273f2a919d3fa0f2b2593c92d19,2024-01-18,Benson Boone,22wbnEMDvgVIAGdFeek6ET,180304,10,0.151,0.472,0.471,0.0,0.14,-5.692,1,0.0603,0.219,105.029,singer-songwriter pop
Top 50 - USA,Stick Season,0mflMxspEfB0VbI1kyLiAv,False,97,Stick Season,50ZenUP4O2Q5eCy2NRNvuz,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918,2022-10-14,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,182347,9,0.782,0.662,0.488,0.0,0.102,-6.894,1,0.0682,0.817,117.913,pov: indie
Top 50 - USA,redrum,52eIcoLUM25zbQupAZYoFh,True,96,american dream,2RRYaYHY7fIIdvFlvgb5vq,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347,2024-01-12,21 Savage,1URnnhqYAYcrqrcwql10ft,270698,2,0.00529,0.624,0.74,0.000224,0.5,-8.445,1,0.0481,0.246,172.089,"atl hip hop, hip hop, rap"
Top 50 - USA,Lovin On Me,4xhsWYTOGcal8zt0J161CU,True,99,Lovin On Me,6VCO0fDBGbRW8mCEvV95af,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8,2023-11-10,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,138411,2,0.0026,0.943,0.558,2.19e-06,0.0937,-4.911,1,0.0568,0.606,104.983,"deep underground hip hop, kentucky hip hop, pop rap, rap"
Top 50 - USA,I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,False,94,Zach Bryan,6PbnGueEO6LGodPfvNldYf,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef,2023-08-25,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,227196,0,0.554,0.429,0.453,2e-06,0.102,-7.746,1,0.0459,0.155,77.639,classic oklahoma country
Top 50 - USA,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,False,91,Something in the Orange,1CmTOKCeyz1aHH04OwvTPv,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,2022-04-22,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,228013,4,0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0,0.04,0.148,175.212,classic oklahoma country
Top 50 - USA,Never Lose Me,6uTPdRrEDeH8Fyg5L5qmeU,True,92,Never Lose Me,4K5YnziH8o3NoEsxv8zviL,https://i.scdn.co/image/ab67616d0000b2736a17369515a43d96fb18d193,2023-11-30,Flo Milli,08PvCOlef4xdOr20jFSTPd,125902,1,0.0504,0.781,0.567,0.0,0.0981,-7.857,1,0.0969,0.0743,121.964,viral rap
Top 50 - USA,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,False,99,The Land Is Inhospitable and So Are We,2Cn1d2KgbkAqbZCJ1RzdkA,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10,2023-09-15,Mitski,2uYWxilOVlUdk4oV9DvwqK,137773,9,0.868,0.504,0.308,0.135,0.158,-14.958,1,0.0321,0.121,113.95,"brooklyn indie, pov: indie"
Top 50 - USA,La Diabla,0R6NfOiLzLj4O5VbYSJAjf,False,99,La Diabla,2IoSjweCu07y9mv5H1Cj3v,https://i.scdn.co/image/ab67616d0000b2731501c770de50a22b25d67611,2023-11-30,Xavi,3Me35AWHCGqW4sZ7bWWJt1,172264,11,0.255,0.751,0.819,0.0,0.236,-4.372,0,0.0409,0.697,131.842,sad sierreno
Top 50 - USA,La Víctima,5XVdHRf4CAJ2Jm0uMIy5qY,True,96,La Víctima,30KJEN3ICjhYsZ1NgunRCr,https://i.scdn.co/image/ab67616d0000b2730e8dc9720dd03d86627fa54b,2023-08-17,Xavi,3Me35AWHCGqW4sZ7bWWJt1,156346,11,0.152,0.778,0.835,0.0,0.109,-3.598,0,0.0767,0.666,140.082,sad sierreno
Top 50 - USA,greedy,3rUGC1vUpkDG9CZFHMur1t,True,100,greedy,3UOV8XvCwMKaATRNXrYCjN,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8,2023-09-15,Tate McRae,45dkTj5sMRSjrmBSBeiHym,131872,6,0.256,0.75,0.733,0.0,0.114,-3.18,0,0.0319,0.844,111.018,"alt z, pop"
Top 50 - USA,exes,4E63weMCaNZuGPEFMnuEi8,True,90,THINK LATER,0OUOx6rJXtL66AzTnP9KUE,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,2023-12-08,Tate McRae,45dkTj5sMRSjrmBSBeiHym,159401,5,0.173,0.821,0.575,0.000242,0.114,-6.57,0,0.0589,0.611,136.962,"alt z, pop"
Top 50 - USA,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,True,93,SOS,07w0rG5TETcyihsEIZR3qG,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09,SZA,7tYKF4w9nC0nq9CsPZTHyP,201800,5,0.141,0.559,0.551,0.0,0.11,-7.231,1,0.132,0.392,143.008,"pop, r&b, rap"
Top 50 - USA,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,False,91,SOS,1nrVofqDRs7cpWXJ49qTnP,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,2022-12-08,SZA,7tYKF4w9nC0nq9CsPZTHyP,153947,8,0.0521,0.644,0.735,0.144,0.161,-5.747,1,0.0391,0.418,88.98,"pop, r&b, rap"
Top 50 - USA,Lose Control,17phhZDn6oGtzMe56NuWvj,False,92,I've Tried Everything But Therapy (Part 1),7nacKlk586eLRBSIsrk9DB,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,2023-09-15,Teddy Swims,33qOK5uJ8AR2xuQQAhHump,210689,9,0.199,0.561,0.604,1.9e-05,0.104,-4.409,1,0.0337,0.242,159.92,
Top 50 - USA,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,False,99,Lover,1NAmidJlEaVgA3MpcPFYGq,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2019-08-23,Taylor Swift,06HL4z0CvFAxyc27GXpf02,178427,9,0.117,0.552,0.702,2.06e-05,0.105,-5.707,1,0.157,0.564,169.994,pop
Top 50 - USA,HISS,79AHPJd8upvNxyK2qQcY8J,True,89,HISS,2QfxtFVJK1qh8pj2DEFHlA,https://i.scdn.co/image/ab67616d0000b2739ea288a3dbc316b15cab5ad0,2024-01-26,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,192819,1,0.078,0.745,0.663,0.0,0.213,-5.056,1,0.423,0.686,167.137,"houston rap, pop, r&b, rap, trap queen"
Top 50 - USA,ONE CALL,69phA1R4gmQsBFRQ3INW8C,True,82,Ghetto Fabulous,2D1j7mjB55lvygjMmYgTYT,https://i.scdn.co/image/ab67616d0000b2732c2ada65af543cc22f7676d2,2023-11-17,Rich Amiri,2sF5nNXnrrsCPZlt8ZpyGd,121399,1,0.00617,0.65,0.539,2.67e-05,0.114,-7.281,1,0.0561,0.253,158.105,rage rap
Top 50 - USA,Should've Been A Cowboy,4TJUS843fKiqqIzycM74Oy,False,76,Toby Keith,4aRsryJ8T9RLyudkkGJNbA,https://i.scdn.co/image/ab67616d0000b2739b3b9e4898eb80d8d8cbab8a,1993-04-20,Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,211307,7,0.441,0.618,0.672,1.49e-06,0.214,-7.92,1,0.0353,0.705,133.439,"classic oklahoma country, contemporary country, country, country road"
Top 50 - USA,"Courtesy Of The Red, White And Blue (The Angry American)",0M7mWKqwTIaVjYyxfZmtTa,False,74,Unleashed,7ExectJocqn8sMKq4Tn4LY,https://i.scdn.co/image/ab67616d0000b273bb5c54a68f9ce31f83b98de4,2002-01-01,Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,195533,2,0.521,0.424,0.661,1.62e-06,0.0719,-5.547,1,0.0425,0.384,111.762,"classic oklahoma country, contemporary country, country, country road"
Top 50 - USA,As Good As I Once Was,7G6l2FtQyRhQgYgut2I6i8,False,75,Honkytonk University,4SOpJPkpAO8FT9n4sbmnoT,https://i.scdn.co/image/ab67616d0000b273608370238c487e505e961d15,2005-01-01,Toby Keith,2bA6fzP0lMAQ4kz6CF61w8,227840,5,0.266,0.68,0.87,0.0,0.109,-4.461,1,0.0393,0.646,119.075,"classic oklahoma country, contemporary country, country, country road"
Top 50 - USA,I KNOW ?,6wsqVwoiVH2kde4k4KKAFU,True,92,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,2023-07-28,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,211582,5,0.0186,0.927,0.619,0.0,0.104,-4.441,0,0.0539,0.817,117.995,"hip hop, rap, slap house"
Top 50 - USA,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,True,92,UTOPIA,18NOKLkZETa4sWwLMIm0UZ,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,2023-07-28,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,191701,3,0.0316,0.569,0.882,0.0,0.142,-2.777,0,0.06,0.201,148.038,"hip hop, rap, slap house"
Top 50 - USA,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,False,98,The Idol Episode 4 (Music from the HBO Original Series),7tzVd1fwkxsorytCBjEJkU,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,2023-06-23,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,244685,8,0.0545,0.522,0.641,0.0,0.162,-6.287,1,0.0318,0.202,87.51,"canadian contemporary r&b, canadian pop, pop"
Top 50 - USA,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),6WzRpISELf3YglGAh7TXcG,True,96,Popular (Music from the HBO Original Series),5O0zUvdnJr0RbWzLFneN2i,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,2023-06-02,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,215467,1,0.0569,0.855,0.678,3.69e-05,0.412,-6.276,1,0.189,0.852,99.029,"canadian contemporary r&b, canadian pop, pop"
Top 50 - USA,Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,True,93,For All The Dogs,4czdORdCWP9umpbhFXK2fW,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,2023-10-06,Drake,3TVXtAsR1Inumwj472S9r4,319192,2,0.0377,0.645,0.729,0.0,0.384,-4.56,1,0.0528,0.142,146.01,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Top 50 - USA,IDGAF (feat. Yeat),2YSzYUF3jWqb9YP9VXmpjE,True,92,For All The Dogs,4czdORdCWP9umpbhFXK2fW,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,2023-10-06,Drake,3TVXtAsR1Inumwj472S9r4,260111,8,0.0464,0.663,0.67,8.92e-05,0.205,-8.399,1,0.271,0.138,136.952,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Top 50 - USA,First Person Shooter (feat. J. Cole),7aqfrAY2p9BUSiupwk3svU,True,90,For All The Dogs,4czdORdCWP9umpbhFXK2fW,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,2023-10-06,Drake,3TVXtAsR1Inumwj472S9r4,247444,2,0.0277,0.47,0.64,0.0,0.382,-7.779,1,0.32,0.248,163.92,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Top 50 - USA,Surround Sound (feat. 21 Savage & Baby Tate),1udwFobQ1JoOdWPQrp2b6u,True,94,The Forever Story (Extended Version),4rJDCELWL0fjdmN9Gn4f4g,https://i.scdn.co/image/ab67616d0000b273cae6e44dcc84e2035c3ad092,2022-10-31,JID,6U3ybJ9UHNKEdsH7ktGBZ7,229938,5,0.173,0.575,0.56,0.0,0.257,-7.302,1,0.478,0.471,75.956,"hip hop, pop rap, rap, underground hip hop"
Top 50 - USA,Igual Que Un Ángel (with Peso Pluma),6XaJfhwof7qIgbbXO5tIQI,False,95,ORQUÍDEAS,5U20AVSsUvycGtWip4XQfo,https://i.scdn.co/image/ab67616d0000b2736b291990c6ae00ab2fe5bfcc,2024-01-12,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,260371,5,0.00348,0.685,0.61,0.00054,0.183,-5.36,0,0.0343,0.464,107.999,colombian pop
Top 50 - USA,Bandit,7sTyAjxDXq9afwfSQy6D0s,True,83,Bandit,0jSSRlhYuZmtLMrYB8pjzC,https://i.scdn.co/image/ab67616d0000b273a149905378aeccdfcc04aa80,2024-02-01,Don Toliver,4Gso3d4CscCijv0lmajZWs,147744,1,0.00113,0.671,0.615,1.3e-06,0.211,-9.593,1,0.0955,0.109,130.031,"pop rap, rap, trap"
Top 50 - USA,500lbs,6rjuKpPydT2SxN15TZpV7r,True,87,TEC,4EURMuWFiLLRmQYoH5cgiE,https://i.scdn.co/image/ab67616d0000b273c4e6adea69105e6b6e214b96,2023-09-22,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,144390,7,0.0942,0.722,0.785,0.0,0.119,-5.451,0,0.0763,0.529,122.986,"melodic rap, pluggnb, rap"
Top 50 - USA,vampire,1kuGVB7EU95pJObxwvfwKS,True,95,GUTS,1xJHno7SmdVtZAtXbdbDZp,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,2023-09-08,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,219724,5,0.177,0.511,0.532,0.0,0.291,-5.745,1,0.0578,0.35,138.005,pop
Top 50 - USA,act ii: date @ 8,4HMop4Re0iucehmF7mgV27,True,88,act ii: date @ 8,77SuFKKJ3OY3ZgvuQNBiFA,https://i.scdn.co/image/ab67616d0000b273aa22e6a9258dcc425a4a5019,2023-12-15,4batz,5fi7lIgJGH3RgUpJYcffQ7,158537,5,0.435,0.718,0.417,8.73e-05,0.0748,-13.02,0,0.0502,0.749,138.811,
Top 50 - USA,"yes, and?",7gaA3wERFkFkgivjwbSvkG,True,97,"yes, and?",2B9amdrHDIKOoEiPUfZGtb,https://i.scdn.co/image/ab67616d0000b2736b0b6e20fdb1ee07de7e92d6,2024-01-12,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,214994,1,0.198,0.788,0.758,8.5e-05,0.104,-6.513,1,0.0505,0.823,119.008,pop
Top 50 - USA,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,False,88,Gettin' Old,5Uly85dJHHDfHQCsyUQ8gw,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,2023-03-24,Luke Combs,718COspgdWOnwOFpJHRZHS,265493,8,0.186,0.712,0.603,0.0,0.115,-5.52,1,0.0262,0.67,97.994,"contemporary country, country"
Top 50 - USA,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,False,95,"What Was I Made For? [From The Motion Picture ""Barbie""]",3AafSrFIbJPH6BJHiJm1Cd,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e,2023-07-13,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,222370,0,0.959,0.444,0.0911,1.05e-06,0.098,-17.665,1,0.0307,0.142,78.403,"art pop, pop"
Top 50 - USA,Pink + White,3xKsf9qdS1CyvXSMEid6g8,False,92,Blonde,3mH6qwIy9crq0I9YQbOuDf,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,2016-08-20,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,184516,9,0.667,0.545,0.545,5.48e-05,0.417,-7.362,1,0.107,0.549,159.94,"lgbtq+ hip hop, neo soul"
Top 50 - USA,Last Night,7K3BhSpAxZBznislvUMVtn,True,86,One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,2023-03-03,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,163855,6,0.467,0.492,0.675,0.0,0.142,-5.456,1,0.0389,0.478,203.759,contemporary country
